Case,Inlet Velocity ,Density,Kinematic Viscosity ,Bifurcation Type,D1 (m),D2 (m),I (m),A1,A2,A3,Angle (X1),Angle (X2),Reynlods Number,Particle Density,Particle Diameter,D1/D2,I/D1,I/D2,SIx_1,SIy_1,SIz_1,Q1,SIx_2,SIy_2,SIz_2,Q2,Q1/Q2,V1,V2,,,,,,
79,0.3,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,50,0,3.77E+02,1050,0.0006,0.5,2,1,2.95E-07,1.37E-07,1.29E-09,3.25195E-07,3.08E-06,-1.45E-06,-1.56E-10,3.4073E-06,0.095440405,0.10351239,0.271144046,,,,,,
80,0.3,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,50,0,1.89E+02,1050,0.0006,1.333333333,1,1.333333333,6.32E-07,2.95E-07,3.31E-10,6.97566E-07,2.08E-07,-9.78E-08,-3.22E-10,2.3018E-07,3.030525994,0.222041542,0.130254787,,,,,,
81,0.3,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,110,0,7.54E+02,1050,0.0006,1,1,1,4.20E-06,6.24E-06,1.90E-08,7.52E-06,4.20E-06,-6.26E-06,2.36E-08,7.53532E-06,0.997967382,0.149605269,0.149909979,,,,,,
82,0.3,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,110,0,7.54E+02,1050,0.0006,0.75,1.333333333,1,2.81E-06,4.01E-06,5.64E-09,4.89413E-06,5.74E-06,-8.39E-06,2.07E-08,1.01614E-05,0.481638248,0.17309396,0.202154527,,,,,,
83,0.3,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,110,0,7.54E+02,1050,0.0006,0.5,2,1,1.19E-06,1.71E-06,-5.71E-09,2.07844E-06,7.38E-06,-1.07E-05,2.47E-08,1.29779E-05,0.160152987,0.165396762,0.25818557,,,,,,
84,0.3,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,110,0,7.54E+02,1050,0.0006,0.25,4,1,1.55E-07,2.18E-07,1.35E-09,2.67709E-07,8.48E-06,-1.21E-05,2.10E-08,1.47833E-05,0.018108899,0.085214275,0.294103595,,,,,,
85,0.3,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,110,0,7.54E+02,1050,0.0006,1.333333333,1,1.333333333,5.74E-06,8.38E-06,1.23E-09,1.01633E-05,2.78E-06,-4.02E-06,-1.03E-08,4.88821E-06,2.079154986,0.202192762,0.172884562,,,,,,
86,0.3,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,110,0,7.54E+02,1050,0.0006,2,1,2,7.41E-06,1.07E-05,9.09E-09,1.29836E-05,1.18E-06,-1.70E-06,8.19E-09,2.07194E-06,6.266411112,0.258300903,0.16487964,,,,,,
87,0.3,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,110,0,7.54E+02,1050,0.0006,4,1,4,8.47E-06,1.21E-05,1.09E-08,1.4781E-05,1.51E-07,-2.19E-07,-2.17E-09,2.65571E-07,55.65742838,0.294057522,0.084533556,,,,,,
88,0.3,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,110,0,5.66E+02,1050,0.0006,0.666666667,1.5,1,1.22E-06,1.74E-06,8.20E-09,2.12493E-06,3.63E-06,-5.19E-06,-4.95E-09,6.33069E-06,0.335655197,0.169096092,0.223901847,,,,,,
89,0.3,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,110,0,3.77E+02,1050,0.0006,0.5,2,1,2.31E-07,3.30E-07,-6.73E-10,4.03019E-07,1.91E-06,-2.73E-06,5.52E-09,3.33335E-06,0.120905173,0.128284616,0.265258742,,,,,,
90,0.3,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,110,0,1.89E+02,1050,0.0006,1.333333333,1,1.333333333,3.87E-07,5.57E-07,5.15E-10,6.77946E-07,1.42E-07,-2.07E-07,-1.18E-09,2.50909E-07,2.701956537,0.215796433,0.141985298,,,,,,
91,0.3,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,130,0,7.54E+02,1050,0.0006,1,1,1,3.06E-06,6.86E-06,-7.37E-09,7.50887E-06,3.06E-06,-6.90E-06,3.29E-08,7.5481E-06,0.994802672,0.149383942,0.150164396,,,,,,
92,0.3,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,130,0,7.54E+02,1050,0.0006,0.75,1.333333333,1,2.05E-06,4.40E-06,-4.77E-09,4.85272E-06,4.21E-06,-9.30E-06,-6.54E-09,1.02068E-05,0.47544255,0.171629613,0.20305641,,,,,,
93,0.3,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,130,0,7.54E+02,1050,0.0006,0.5,2,1,8.26E-07,1.80E-06,1.39E-08,1.98338E-06,5.42E-06,-1.19E-05,2.13E-08,1.30622E-05,0.15184177,0.157832033,0.259862673,,,,,,
94,0.3,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,130,0,7.54E+02,1050,0.0006,0.25,4,1,1.20E-07,2.55E-07,-2.47E-09,2.81442E-07,6.20E-06,-1.34E-05,-4.32E-08,1.47696E-05,0.019055508,0.08958567,0.293831282,,,,,,
95,0.3,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,130,0,7.54E+02,1050,0.0006,1.333333333,1,1.333333333,4.18E-06,9.29E-06,-6.12E-09,1.0184E-05,2.05E-06,-4.42E-06,-4.41E-09,4.87082E-06,2.090827398,0.202604754,0.17226971,,,,,,
96,0.3,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,130,0,7.54E+02,1050,0.0006,2,1,2,5.44E-06,1.19E-05,1.94E-08,1.30776E-05,8.14E-07,-1.79E-06,-1.29E-08,1.97055E-06,6.636531856,0.260170299,0.156811,,,,,,
97,0.3,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,130,0,7.54E+02,1050,0.0006,4,1,4,6.19E-06,1.34E-05,1.98E-08,1.47609E-05,1.22E-07,-2.60E-07,2.65E-09,2.86847E-07,51.45931413,0.29365868,0.091305898,,,,,,
98,0.3,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,130,0,5.66E+02,1050,0.0006,0.666666667,1.5,1,9.03E-07,1.92E-06,7.24E-09,2.12446E-06,2.66E-06,-5.74E-06,-1.24E-08,6.32733E-06,0.335758421,0.16905838,0.223783092,,,,,,
99,0.3,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,130,0,3.77E+02,1050,0.0006,0.5,2,1,1.75E-07,3.73E-07,4.01E-09,4.12223E-07,1.43E-06,-3.00E-06,5.43E-09,3.32486E-06,0.123982191,0.131214404,0.264583169,,,,,,
100,0.3,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,130,0,1.89E+02,1050,0.0006,1.333333333,1,1.333333333,2.83E-07,6.13E-07,-1.91E-09,6.7528E-07,1.07E-07,-2.29E-07,-1.40E-10,2.53163E-07,2.667373121,0.214947655,0.143260484,,,,,,
101,0.36,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,90,0,9.05E+02,1050,0.0006,1,1,1,6.23E-06,6.57E-06,1.60E-09,9.05568E-06,6.20E-06,-6.52E-06,-9.04E-10,8.99728E-06,1.006490202,0.180156557,0.178994844,,,,,,
102,0.36,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,90,0,9.05E+02,1050,0.0006,0.75,1.333333333,1,4.18E-06,4.25E-06,-1.36E-09,5.9628E-06,8.40E-06,-8.69E-06,1.97E-09,1.20869E-05,0.493326331,0.210890542,0.240461379,,,,,,
103,0.36,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,90,0,9.05E+02,1050,0.0006,0.5,2,1,1.81E-06,1.82E-06,4.99E-10,2.56609E-06,1.08E-05,-1.11E-05,7.54E-09,1.54776E-05,0.165794146,0.204202754,0.307916111,,,,,,
104,0.36,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,90,0,9.05E+02,1050,0.0006,0.25,4,1,2.28E-07,2.29E-07,3.04E-10,3.22912E-07,1.24E-05,-1.26E-05,-2.61E-09,1.77229E-05,0.018220032,0.102785919,0.352585554,,,,,,
105,0.36,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,90,0,9.05E+02,1050,0.0006,1.333333333,1,1.333333333,8.51E-06,8.67E-06,3.29E-08,1.21523E-05,4.15E-06,-4.21E-06,-3.61E-08,5.91319E-06,2.055114574,0.241761518,0.209135909,,,,,,
106,0.36,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,90,0,9.05E+02,1050,0.0006,2,1,2,1.10E-05,1.10E-05,-5.78E-09,1.55428E-05,1.78E-06,-1.79E-06,-3.60E-09,2.52902E-06,6.145774109,0.309213041,0.201252461,,,,,,
107,0.36,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,90,0,9.05E+02,1050,0.0006,4,1,4,1.24E-05,1.26E-05,-5.31E-09,1.77215E-05,2.32E-07,-2.29E-07,4.73E-10,3.25935E-07,54.37136982,0.352557746,0.103748056,,,,,,
108,0.36,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,90,0,6.79E+02,1050,0.0006,0.666666667,1.5,1,1.79E-06,1.80E-06,-1.67E-08,2.54159E-06,5.39E-06,-5.35E-06,2.08E-08,7.59399E-06,0.334684459,0.202252906,0.268581878,,,,,,
109,0.36,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,90,0,4.53E+02,1050,0.0006,0.5,2,1,3.52E-07,3.52E-07,1.57E-09,4.97833E-07,2.84E-06,-2.80E-06,1.82E-09,3.9816E-06,0.125033129,0.158464644,0.316845312,,,,,,
110,0.36,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,90,0,4.53E+02,1050,0.0006,0.5,2,1,3.52E-07,3.52E-07,1.57E-09,4.97833E-07,2.84E-06,-2.80E-06,1.82E-09,3.9816E-06,0.125033129,0.158464644,0.316845312,,,,,,
111,0.36,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,70,0,9.05E+02,1050,0.0006,1,1,1,7.33E-06,5.28E-06,-1.02E-08,9.03581E-06,7.28E-06,-5.36E-06,2.38E-08,9.03675E-06,0.99989627,0.179761404,0.179780053,,,,,,
112,0.36,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,70,0,9.05E+02,1050,0.0006,0.75,1.333333333,1,4.79E-06,3.41E-06,8.84E-09,5.87774E-06,9.91E-06,-7.09E-06,-2.14E-08,1.21872E-05,0.482289734,0.20788207,0.242455222,,,,,,
113,0.36,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,70,0,9.05E+02,1050,0.0006,0.5,2,1,1.93E-06,1.35E-06,-8.54E-11,2.35254E-06,1.28E-05,-9.13E-06,8.19E-09,1.57056E-05,0.149789857,0.187208564,0.312452003,,,,,,
114,0.36,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,70,0,9.05E+02,1050,0.0006,0.25,4,1,2.39E-07,1.71E-07,-2.77E-09,2.93858E-07,1.45E-05,-1.03E-05,-2.27E-09,1.77638E-05,0.016542578,0.09353777,0.353397805,,,,,,
115,0.36,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,70,0,9.05E+02,1050,0.0006,1.333333333,1,1.333333333,9.97E-06,7.09E-06,2.54E-08,1.22328E-05,4.76E-06,-3.38E-06,2.23E-08,5.83719E-06,2.095661718,0.243362797,0.206447906,,,,,,
116,0.36,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,70,0,9.05E+02,1050,0.0006,2,1,2,1.28E-05,9.12E-06,3.28E-10,1.5717E-05,1.92E-06,-1.34E-06,-6.74E-09,2.34364E-06,6.706256266,0.312679716,0.186500309,,,,,,
117,0.36,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,70,0,9.05E+02,1050,0.0006,4,1,4,1.45E-05,1.03E-05,7.47E-09,1.77613E-05,2.43E-07,-1.70E-07,1.60E-09,2.96003E-07,60.00400202,0.353349914,0.094220359,,,,,,
118,0.36,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,70,0,6.79E+02,1050,0.0006,0.666666667,1.5,1,2.01E-06,1.43E-06,5.65E-09,2.46485E-06,6.29E-06,-4.41E-06,-4.30E-08,7.68048E-06,0.320923215,0.19614571,0.271640901,,,,,,
119,0.36,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,70,0,4.53E+02,1050,0.0006,0.5,2,1,3.64E-07,2.50E-07,-5.15E-09,4.41642E-07,3.30E-06,-2.32E-06,-1.65E-11,4.03773E-06,0.10937879,0.140578565,0.3213113,,,,,,
120,0.36,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,70,0,2.26E+02,1050,0.0006,1.333333333,1,1.333333333,6.71E-07,4.66E-07,3.73E-09,8.16901E-07,2.44E-07,-1.73E-07,-1.73E-09,2.98816E-07,2.733794507,0.260027161,0.169094827,,,,,,
121,0.36,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,50,0,9.05E+02,1050,0.0006,1,1,1,8.14E-06,4.02E-06,2.60E-08,9.07654E-06,8.06E-06,-3.99E-06,1.26E-08,8.99002E-06,1.009623952,0.180571539,0.178850292,,,,,,
122,0.36,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,50,0,9.05E+02,1050,0.0006,0.75,1.333333333,1,5.00E-06,2.40E-06,1.75E-08,5.54086E-06,1.13E-05,-5.49E-06,8.33E-10,1.25221E-05,0.442487446,0.19596734,0.249118093,,,,,,
123,0.36,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,50,0,9.05E+02,1050,0.0006,0.5,2,1,1.96E-06,9.34E-07,-5.19E-09,2.16801E-06,1.43E-05,-6.88E-06,-4.89E-09,1.58926E-05,0.136416228,0.172524096,0.316172238,,,,,,
124,0.36,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,50,0,9.05E+02,1050,0.0006,0.25,4,1,2.18E-07,1.01E-07,2.55E-09,2.39927E-07,1.61E-05,-7.69E-06,-3.07E-09,1.78176E-05,0.013465705,0.076370906,0.35446949,,,,,,
125,0.36,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,50,0,9.05E+02,1050,0.0006,1.333333333,1,1.333333333,1.13E-05,5.50E-06,-3.50E-09,1.25518E-05,4.98E-06,-2.37E-06,-6.33E-10,5.51141E-06,2.277415384,0.249709154,0.194925962,,,,,,
126,0.36,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,50,0,9.05E+02,1050,0.0006,2,1,2,1.43E-05,6.89E-06,-5.89E-09,1.59058E-05,1.96E-06,-9.02E-07,-4.38E-11,2.16104E-06,7.360246277,0.31643533,0.171969968,,,,,,
127,0.36,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,50,0,9.05E+02,1050,0.0006,4,1,4,1.61E-05,7.69E-06,3.03E-09,1.78189E-05,2.19E-07,-9.98E-08,7.82E-10,2.40723E-07,74.0224169,0.354494387,0.076624223,,,,,,
128,0.36,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,50,0,6.79E+02,1050,0.0006,0.666666667,1.5,1,2.04E-06,9.79E-07,-6.62E-09,2.2644E-06,7.11E-06,-3.38E-06,-2.18E-09,7.87406E-06,0.287577076,0.18019478,0.27848732,,,,,,
129,0.36,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,50,0,4.53E+02,1050,0.0006,0.5,2,1,3.69E-07,1.72E-07,1.90E-09,4.07293E-07,3.68E-06,-1.73E-06,-2.08E-10,4.07121E-06,0.100042154,0.129644928,0.323975752,,,,,,
130,0.36,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,50,0,2.26E+02,1050,0.0006,1.333333333,1,1.333333333,7.56E-07,3.53E-07,2.09E-10,8.34747E-07,2.52E-07,-1.18E-07,-6.59E-10,2.78456E-07,2.997763606,0.265707516,0.157573771,,,,,,
131,0.36,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,110,0,9.05E+02,1050,0.0006,1,1,1,5.03E-06,7.48E-06,2.05E-08,9.01956E-06,5.04E-06,-7.51E-06,2.74E-08,9.04755E-06,0.996907056,0.179438118,0.179994832,,,,,,
132,0.36,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,110,0,9.05E+02,1050,0.0006,0.75,1.333333333,1,3.40E-06,4.87E-06,7.18E-09,5.93818E-06,6.85E-06,-1.00E-05,3.02E-08,1.21298E-05,0.489554137,0.210019504,0.241313395,,,,,,
133,0.36,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,110,0,9.05E+02,1050,0.0006,0.5,2,1,1.46E-06,2.09E-06,-9.07E-09,2.55103E-06,8.81E-06,-1.28E-05,3.18E-08,1.55171E-05,0.164401066,0.203004018,0.308702406,,,,,,
134,0.36,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,110,0,9.05E+02,1050,0.0006,0.25,4,1,2.05E-07,2.88E-07,1.50E-09,3.53852E-07,1.01E-05,-1.45E-05,2.60E-08,1.77078E-05,0.019982805,0.112634311,0.352285092,,,,,,
135,0.36,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,110,0,9.05E+02,1050,0.0006,1.333333333,1,1.333333333,6.85E-06,1.00E-05,8.51E-09,1.21409E-05,3.37E-06,-4.86E-06,-1.07E-08,5.92075E-06,2.050564338,0.241534341,0.209403029,,,,,,
136,0.36,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,110,0,9.05E+02,1050,0.0006,2,1,2,8.86E-06,1.27E-05,-3.09E-09,1.55244E-05,1.45E-06,-2.09E-06,9.42E-09,2.54257E-06,6.105775014,0.308846847,0.202330971,,,,,,
137,0.36,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,110,0,9.05E+02,1050,0.0006,4,1,4,1.01E-05,1.45E-05,1.25E-08,1.77063E-05,1.99E-07,-2.88E-07,-2.88E-09,3.4976E-07,50.62417506,0.352255426,0.111331924,,,,,,
138,0.36,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,110,0,6.79E+02,1050,0.0006,0.666666667,1.5,1,1.48E-06,2.11E-06,1.07E-08,2.57496E-06,4.34E-06,-6.20E-06,-3.89E-09,7.57178E-06,0.34007276,0.204908059,0.267796364,,,,,,
139,0.36,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,110,0,4.53E+02,1050,0.0006,0.5,2,1,2.90E-07,4.15E-07,-6.00E-10,5.05761E-07,2.28E-06,-3.26E-06,7.13E-09,3.97791E-06,0.127142488,0.160988396,0.316551135,,,,,,
140,0.36,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,110,0,2.26E+02,1050,0.0006,1.333333333,1,1.333333333,4.61E-07,6.64E-07,1.19E-09,8.0843E-07,1.73E-07,-2.52E-07,-1.18E-09,3.06157E-07,2.640568732,0.257330574,0.173249259,,,,,,
141,0.36,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,130,0,9.05E+02,1050,0.0006,1,1,1,3.67E-06,8.23E-06,-9.93E-09,9.00681E-06,3.67E-06,-8.29E-06,3.56E-08,9.06239E-06,0.993866534,0.179184331,0.180290134,,,,,,
142,0.36,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,130,0,9.05E+02,1050,0.0006,0.75,1.333333333,1,2.48E-06,5.32E-06,-5.59E-09,5.87188E-06,5.03E-06,-1.11E-05,2.25E-08,1.22003E-05,0.481288354,0.20767485,0.242717494,,,,,,
143,0.36,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,130,0,9.05E+02,1050,0.0006,0.5,2,1,1.01E-06,2.19E-06,1.44E-08,2.41511E-06,6.47E-06,-1.42E-05,-5.31E-09,1.56397E-05,0.154421242,0.192187667,0.311141888,,,,,,
144,0.36,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,130,0,9.05E+02,1050,0.0006,0.25,4,1,1.57E-07,3.32E-07,-2.89E-09,3.67439E-07,7.40E-06,-1.61E-05,-2.62E-08,1.76944E-05,0.02076582,0.116959043,0.352017893,,,,,,
145,0.36,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,130,0,9.05E+02,1050,0.0006,1.333333333,1,1.333333333,4.99E-06,1.11E-05,-1.39E-08,1.21491E-05,2.50E-06,-5.36E-06,-6.44E-09,5.9165E-06,2.053429206,0.241698208,0.209252747,,,,,,
146,0.36,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,130,0,9.05E+02,1050,0.0006,2,1,2,6.50E-06,1.43E-05,1.97E-08,1.56634E-05,9.92E-07,-2.18E-06,-1.45E-08,2.39402E-06,6.54269771,0.311612238,0.19050994,,,,,,
147,0.36,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,130,0,9.05E+02,1050,0.0006,4,1,4,7.38E-06,1.61E-05,7.73E-09,1.7682E-05,1.60E-07,-3.40E-07,2.90E-09,3.75918E-07,47.03689712,0.351771517,0.119658069,,,,,,
148,0.36,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,130,0,6.79E+02,1050,0.0006,0.666666667,1.5,1,1.09E-06,2.33E-06,7.42E-09,2.57298E-06,3.18E-06,-6.87E-06,-1.34E-08,7.56874E-06,0.339948446,0.204750914,0.267688844,,,,,,
149,0.36,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,130,0,4.53E+02,1050,0.0006,0.5,2,1,2.18E-07,4.65E-07,4.06E-09,5.13165E-07,1.71E-06,-3.59E-06,4.75E-09,3.97116E-06,0.129222987,0.163345094,0.316014002,,,,,,
150,0.36,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,130,0,2.26E+02,1050,0.0006,1.333333333,1,1.333333333,3.38E-07,7.31E-07,-1.65E-09,8.05352E-07,1.31E-07,-2.79E-07,-1.18E-10,3.08741E-07,2.608503107,0.256350986,0.174711345,,,,,,
151,0.212,1100,3.00E-06,1014,0.008,0.008,0.008,5.02656E-05,5.02656E-05,5.02656E-05,90,0,5.33E+02,1100,0.0006,1,1,1,3.69E-06,3.85E-06,2.79E-09,5.33325E-06,3.66E-06,-3.83E-06,5.99E-10,5.29965E-06,1.006339211,0.106101315,0.105432953,,,,,,
152,0.212,1100,3.00E-06,1014,0.006,0.008,0.008,2.82744E-05,5.02656E-05,5.02656E-05,90,0,5.33E+02,1100,0.0006,0.75,1.333333333,1,2.38E-06,2.42E-06,-3.31E-10,3.38981E-06,5.05E-06,-5.19E-06,7.87E-10,7.24098E-06,0.468142876,0.119889878,0.144054432,,,,,,
153,0.212,1100,3.00E-06,1014,0.004,0.008,0.008,1.25664E-05,5.02656E-05,5.02656E-05,90,0,5.33E+02,1100,0.0006,0.5,2,1,9.72E-07,9.76E-07,2.86E-10,1.37748E-06,6.48E-06,-6.60E-06,7.69E-10,9.24941E-06,0.148926828,0.109616507,0.18401068,,,,,,
154,0.212,1100,3.00E-06,1014,0.002,0.008,0.008,3.1416E-06,5.02656E-05,5.02656E-05,90,0,5.33E+02,1100,0.0006,0.25,4,1,1.01E-07,1.01E-07,-2.89E-10,1.42692E-07,7.37E-06,-7.46E-06,-3.14E-09,1.04853E-05,0.013608725,0.045420137,0.208598428,,,,,,
155,0.212,1100,3.00E-06,1014,0.008,0.006,0.008,5.02656E-05,2.82744E-05,5.02656E-05,90,0,5.33E+02,1100,0.0006,1.333333333,1,1.333333333,5.10E-06,5.18E-06,2.53E-08,7.26753E-06,2.36E-06,-2.40E-06,-2.27E-08,3.371E-06,2.155895884,0.144582543,0.119224511,,,,,,
156,0.212,1100,3.00E-06,1014,0.008,0.004,0.008,5.02656E-05,1.25664E-05,5.02656E-05,90,0,5.33E+02,1100,0.0006,2,1,2,6.55E-06,6.56E-06,6.99E-10,9.27361E-06,9.65E-07,-9.69E-07,-5.13E-09,1.36772E-06,6.780357252,0.184492264,0.108839259,,,,,,
157,0.212,1100,3.00E-06,1014,0.008,0.002,0.008,5.02656E-05,3.1416E-06,5.02656E-05,90,0,5.33E+02,1100,0.0006,4,1,4,7.37E-06,7.46E-06,-1.07E-09,1.04857E-05,1.02E-07,-1.00E-07,-6.88E-11,1.42839E-07,73.4093245,0.208606827,0.045467102,,,,,,
158,0.212,1100,3.00E-06,1014,0.004,0.006,0.006,1.25664E-05,2.82744E-05,2.82744E-05,90,0,4.00E+02,1100,0.0006,0.666666667,1.5,1,1.01E-06,1.02E-06,-8.29E-09,1.44062E-06,3.21E-06,-3.20E-06,1.44E-08,4.52901E-06,0.318086138,0.114640269,0.160180606,,,,,,
159,0.212,1100,3.00E-06,1014,0.002,0.004,0.004,3.1416E-06,1.25664E-05,1.25664E-05,90,0,2.67E+02,1100,0.0006,0.5,2,1,1.79E-07,1.79E-07,1.01E-09,2.52924E-07,1.69E-06,-1.68E-06,2.62E-09,2.38571E-06,0.106016218,0.080507896,0.189848067,,,,,,
160,0.212,1100,3.00E-06,1014,0.002,0.0015,0.002,3.1416E-06,1.76715E-06,3.1416E-06,90,0,1.33E+02,1100,0.0006,1.333333333,1,1.333333333,1.20E-07,-1.22E-07,2.00E-09,1.71193E-07,3.44E-07,3.43E-07,-9.42E-10,4.85623E-07,0.352522715,0.054492361,0.274805862,,,,,,
